    Year | Count 
---------+-------
    2018 |     0
    2017 |     0
    2016 |     0
    2015 |     1
    2014 |     3
    2013 |     2
    2012 |     3
    2011 |     7
    2010 |    10
    2009 |     4
    2008 |     2
    2007 |     4
    2006 |     7
    2005 |     7
    2004 |     3
    2003 |     3
    2002 |     6
    2001 |     3
    2000 |     2
    1999 |     2
    1998 |     1
    1997 |     6
    1996 |     3
    1995 |     9
    1994 |    13
    1993 |     9
    1992 |    11
    1991 |    11
    1990 |    11
 AVERAGE |   4.9
(30 rows)

